"week","site","neon","NEE_VUT_REF.avg","NEE_VUT_REF.upper","NEE_VUT_REF.lower"
38,"SRG","SRER",-0.489676000,-0.098481609,-0.880870391
39,"SRG","SRER",-0.391801257,-0.143242697,-0.640359817
40,"SRG","SRER",-0.271622489,-0.109089810,-0.434155167
41,"SRG","SRER", 0.077598857, 0.191772583,-0.036574869
42,"SRG","SRER",-0.034314014, 0.045395330,-0.114023359
43,"SRG","SRER", 0.072554600, 0.149628141,-0.004518941
44,"SRG","SRER", 0.169743843, 0.283740666, 0.055747019
45,"SRG","SRER", 0.192388520, 0.249214545, 0.135562495
46,"SRG","SRER", 0.163828800, 0.224469382, 0.103188218
47,"SRG","SRER", 0.174920200, 0.264222497, 0.085617903
48,"SRG","SRER", 0.398128786, 0.559062916, 0.237194655
49,"SRG","SRER", 0.323971571, 0.374932708, 0.273010435
50,"SRG","SRER", 0.353780000, 0.386968724, 0.320591276
51,"SRG","SRER", 0.350303143, 0.385541601, 0.315064685
52,"SRG","SRER", 0.313886333, 0.386836255, 0.240936412
53,"SRG","SRER", 0.116756000,NA,NA
 1,"SRM","SRER", 0.195782573, 0.241389003, 0.150176142
 2,"SRM","SRER", 0.163091327, 0.210909066, 0.115273589
 3,"SRM","SRER", 0.208548282, 0.258121594, 0.158974970
 4,"SRM","SRER", 0.263726583, 0.317753651, 0.209699515
 5,"SRM","SRER", 0.256364109, 0.304884955, 0.207843263
 6,"SRM","SRER", 0.278750582, 0.319007366, 0.238493798
 7,"SRM","SRER", 0.223988345, 0.251796125, 0.196180566
 8,"SRM","SRER", 0.208261464, 0.251869318, 0.164653609
 9,"SRM","SRER", 0.279150475, 0.353101060, 0.205199891
10,"SRM","SRER", 0.230698245, 0.332965569, 0.128430922
11,"SRM","SRER", 0.269776891, 0.391532087, 0.148021695
12,"SRM","SRER", 0.254160057, 0.330106230, 0.178213885
13,"SRM","SRER", 0.249645255, 0.331420677, 0.167869832
14,"SRM","SRER", 0.367055127, 0.460491235, 0.273619020
15,"SRM","SRER", 0.310489273, 0.388709423, 0.232269123
16,"SRM","SRER", 0.168019618, 0.247965111, 0.088074125
17,"SRM","SRER", 0.058830422, 0.162135448,-0.044474605
18,"SRM","SRER",-0.046342500, 0.052059077,-0.144744077
19,"SRM","SRER", 0.015474082, 0.130528742,-0.099580578
20,"SRM","SRER", 0.160711595, 0.261151968, 0.060271223
21,"SRM","SRER", 0.229833108, 0.343288127, 0.116378090
22,"SRM","SRER", 0.242454791, 0.323954233, 0.160955349
23,"SRM","SRER", 0.250969008, 0.325189938, 0.176748079
24,"SRM","SRER", 0.382650445, 0.472836122, 0.292464769
25,"SRM","SRER", 0.506732955, 0.613139110, 0.400326799
26,"SRM","SRER", 1.077295727, 1.304213048, 0.850378407
27,"SRM","SRER", 1.316157636, 1.456210357, 1.176104915
28,"SRM","SRER", 1.032413218, 1.252870320, 0.811956117
29,"SRM","SRER", 0.211837909, 0.620506465,-0.196830647
30,"SRM","SRER",-0.348810182, 0.043843319,-0.741463682
31,"SRM","SRER",-0.383344073,-0.074460394,-0.692227751
32,"SRM","SRER",-0.620947118,-0.352025873,-0.889868363
33,"SRM","SRER",-0.798721685,-0.538171904,-1.059271465
34,"SRM","SRER",-0.603698527,-0.370532293,-0.836864761
35,"SRM","SRER",-0.089837455, 0.022830941,-0.202505851
36,"SRM","SRER",-0.452453182,-0.237637506,-0.667268857
37,"SRM","SRER",-0.612949464,-0.399202615,-0.826696312
38,"SRM","SRER",-0.419702436,-0.290437285,-0.548967588
39,"SRM","SRER",-0.207413527,-0.087877654,-0.326949401
40,"SRM","SRER",-0.262540782,-0.183901010,-0.341180554
41,"SRM","SRER",-0.187156445,-0.102931947,-0.271380944
42,"SRM","SRER",-0.206380180,-0.124577640,-0.288182720
43,"SRM","SRER",-0.082182095,-0.021532959,-0.142831232
44,"SRM","SRER",-0.043960745, 0.018490013,-0.106411504
45,"SRM","SRER",-0.027692709, 0.023161836,-0.078547254
46,"SRM","SRER", 0.027673734, 0.081409165,-0.026061697
47,"SRM","SRER", 0.042392423, 0.116491405,-0.031706559
48,"SRM","SRER", 0.258094536, 0.395476354, 0.120712718
49,"SRM","SRER", 0.210101762, 0.266056775, 0.154146749
50,"SRM","SRER", 0.190589255, 0.245395131, 0.135783378
51,"SRM","SRER", 0.231283464, 0.307966117, 0.154600810
52,"SRM","SRER", 0.244008011, 0.341015567, 0.147000455
53,"SRM","SRER", 0.004346900, 0.050408200,-0.041714400
