"week","site","neon","nee_diff.avg","nee_diff.upper","nee_diff.lower"
 5,"SRM","SRER",-1.119756e-01,-7.914434e-02,-1.448069e-01
 6,"SRM","SRER",-9.939137e-02,-6.021926e-02,-1.385635e-01
 7,"SRM","SRER",-3.324113e-02, 3.651926e-03,-7.013418e-02
 8,"SRM","SRER", 4.327079e-02, 7.981883e-02, 6.722764e-03
 9,"SRM","SRER", 7.883145e-02, 1.200069e-01, 3.765602e-02
10,"SRM","SRER", 2.469008e-01, 3.005546e-01, 1.932469e-01
11,"SRM","SRER", 3.120556e-01, 3.750823e-01, 2.490288e-01
12,"SRM","SRER", 2.512983e-01, 3.095234e-01, 1.930731e-01
13,"SRM","SRER", 2.416866e-01, 3.057852e-01, 1.775881e-01
14,"SRM","SRER", 3.270838e-01, 3.837344e-01, 2.704333e-01
15,"SRM","SRER", 3.535632e-01, 4.264398e-01, 2.806865e-01
16,"SRM","SRER", 5.135596e-01, 5.907576e-01, 4.363616e-01
17,"SRM","SRER", 7.634114e-01, 8.797732e-01, 6.470496e-01
18,"SRM","SRER", 8.914223e-01, 9.865729e-01, 7.962718e-01
19,"SRM","SRER", 8.123123e-01, 9.002914e-01, 7.243332e-01
20,"SRM","SRER", 7.301769e-01, 8.020273e-01, 6.583266e-01
21,"SRM","SRER", 7.176838e-01, 7.936999e-01, 6.416676e-01
22,"SRM","SRER", 6.864233e-01, 7.538542e-01, 6.189923e-01
23,"SRM","SRER", 6.159127e-01, 6.695363e-01, 5.622891e-01
24,"SRM","SRER", 5.414801e-01, 6.169167e-01, 4.660435e-01
25,"SRM","SRER", 3.915809e-01, 4.548663e-01, 3.282954e-01
26,"SRM","SRER", 3.279830e-01, 3.929978e-01, 2.629682e-01
27,"SRM","SRER", 6.015259e-01, 6.871125e-01, 5.159392e-01
28,"SRM","SRER", 1.444546e+00, 1.584305e+00, 1.304786e+00
29,"SRM","SRER", 2.431473e+00, 2.654945e+00, 2.208002e+00
30,"SRM","SRER", 3.460901e+00, 3.741371e+00, 3.180430e+00
31,"SRM","SRER", 4.196499e+00, 4.454566e+00, 3.938431e+00
32,"SRM","SRER", 4.465356e+00, 4.744622e+00, 4.186090e+00
33,"SRM","SRER", 4.671597e+00, 4.913888e+00, 4.429305e+00
34,"SRM","SRER", 4.410295e+00, 4.663587e+00, 4.157003e+00
35,"SRM","SRER", 4.012768e+00, 4.283894e+00, 3.741641e+00
36,"SRM","SRER", 3.294848e+00, 3.548192e+00, 3.041504e+00
37,"SRM","SRER", 3.678701e+00, 3.918175e+00, 3.439227e+00
38,"SRM","SRER", 3.066828e+00, 3.286809e+00, 2.846848e+00
